map,record,member,date
CTF-BT-BeforeMan,55.429,Dylanbro,2012-06-09
CTF-BT-BehindSunrise-v2,01:55.838,Dylanbro,2021-05-03
CTF-BT-Benign-v1,01:39.976,Nightwolf`,2014-12-05
CTF-BT-BerryBlueTyphoon-dbl,01:21.408,Dylanbro,2016-01-05
CTF-BT-Beyond-fix2,52.392,Nightwolf`,2022-04-07
CTF-BT-Bfp-SE-,03:20.625,}ElitE{Mike`,2017-12-29
CTF-BT-BigFloppa,33.450,~DarK~JoJo~,2023-12-29
CTF-BT-BiohazardTroysRoom_dbl,27.733,Nightwolf`,2017-08-10
CTF-BT-BioshockCB,01:47.509,kleps,2021-04-28
CTF-BT-birkin-fix,01:13.059,Dylanbro,2021-09-26
CTF-BT-Bit-O-BT-vF,42.005,}ElitE{HellFire`,2021-08-29
CTF-BT-Blackbook,01:36.579,BlueBalls,2022-02-06
CTF-BT-BlackMagic,01:13.746,~DarK~JoJo~,2024-02-13
CTF-BT-Blahblahblah-v2,54.199,Dylanbro,2021-06-17
CTF-BT-Blaz_fix,41.790,p-a-w-e-l,2021-08-27
CTF-BT-Blazing-v3,01:04.993,Dylanbro,2013-02-10
CTF-BT-Bleargh-v4,01:24.611,OwYeaW,2016-06-06
CTF-BT-BlitzAce,54.475,}ElitE{Bon,2017-12-17
CTF-BT-Blizzards,53.209,Dylanbro,2011-09-08
CTF-BT-Blox,02:04.305,fierd_1,2014-02-21
CTF-BT-Blueberrycaek-vF,43.089,~DarK~JoJo~,2025-06-07
CTF-BT-BlueVsRed-fix,06.125,Nightwolf`,2016-11-08
CTF-BT-Bonket,30.588,Nightwolf`,2019-03-18
CTF-BT-Booker-v2,54.829,}ElitE{HellFire`,2017-06-11
CTF-BT-BossFactory-fix,25.740,Nightwolf`,2022-10-05
CTF-BT-BounceRush-i4g,01:02.345,~DarK~JoJo~,2025-01-24
CTF-BT-Bouncin-fix3,21.496,~DarK~JoJo~,2024-02-07
CTF-BT-Bouncorz,39.352,~DarK~JoJo~,2023-12-27
CTF-BT-BoxLand,34.543,}ElitE{Bon,2022-02-06
CTF-BT-BoxRush,21.744,Dylanbro,2024-01-07
CTF-BT-BoxTower,48.774,Dylanbro,2022-10-16
CTF-BT-Brazilian-novice-fix,17.342,}ElitE{Bon,2022-02-20
CTF-BT-BreakingPointV4,01:58.077,~DarK~JoJo~,2024-01-17
CTF-BT-Breathtaking,02:04.778,p-a-w-e-l,2021-07-02
CTF-BT-BridgeAssault,19.871,Dylanbro,2024-03-17
CTF-BT-BSHaX_i4g,01:03.958,}ElitE{Mike`,2011-05-27
CTF-BT-BTCUP2021,01:54.698,Zla_Bakica,2021-07-10
CTF-BT-BTGod-vF,12.817,Nightwolf`,2017-08-07
CTF-BT-BTGod][,19.758,Nightwolf`,2017-08-06
CTF-BT-BTT1-vF2013,24.353,Nightwolf`,2022-10-20
CTF-BT-Bubzys-i4g,19.729,}ElitE{HellFire`,2017-06-25
CTF-BT-Buildings_fix,01:11.666,}ElitE{Mike`,2018-01-03
CTF-BT-Bump_9,08.745,~DarK~JoJo~,2026-03-24
CTF-BT-Bun-Speed,21.997,~DarK~JoJo~,2025-05-22
CTF-BT-Bun-Speed2,39.271,~DarK~JoJo~,2025-05-22
CTF-BT-Bun-Speed3,20.761,~DarK~JoJo~,2025-04-23
CTF-BT-Bun-Speed4,31.210,~DarK~JoJo~,2025-05-22
CTF-BT-Bun-Speed5,32.593,~DarK~JoJo~,2025-05-22
CTF-BT-Bun-Speed6,15.925,~DarK~JoJo~,2025-05-22
CTF-BT-Bun-Speed7,22.235,~DarK~JoJo~,2025-05-22
CTF-BT-Bun-Speed8,14.989,julius,2025-05-23
CTF-BT-Bunny-Games_v2,01:18.140,Nightwolf`,2022-04-19
CTF-BT-Bunny1,35.218,Dylanbro,2017-07-03
CTF-BT-BunnYCurse_i4g,30.338,BlueBalls,2021-11-04
CTF-BT-BunnyDungeon,01:42.538,Nightwolf`,2012-08-16
CTF-BT-BunnyPhobos-v2,56.970,fierd_6,2017-04-23
CTF-BT-BunnySucking,08.177,fierd_6,2012-10-28
CTF-BT-BunnyTrackForYou,44.460,}ElitE{HellFire`,2021-09-10
CTF-BT-BunnyVillage-vF,02:15.341,Nightwolf`,2022-04-25
CTF-BT-BunnyW00tv2,21.634,~DarK~JoJo~,2025-01-21
CTF-BT-BuriedCityOfUr-v3,02:48.926,}ElitE{Bon,2013-05-10
CTF-BT-Burnsie_Relm_dbl,01:06.758,}ElitE{Mike`,2022-09-24
CTF-BT-C'ntcaek-vF,42.431,}ElitE{Bon,2017-01-22
CTF-BT-C+L-dbl,02:01.974,Nightwolf`,2022-04-01
CTF-BT-Cache,39.631,Marmolak,2023-01-07
CTF-BT-Caliban,01:16.781,~DarK~JoJo~,2025-06-04
CTF-BT-CallousV4,01:07.654,TDN-Berserker,2020-07-22
CTF-BT-Cant_dbl,09.442,Nightwolf`,2022-03-14
CTF-BT-CanyonsRevenge-vF3,02:38.122,~DarK~JoJo~,2026-03-11
CTF-BT-Capitulum,50.035,fierd_6,2018-01-23
CTF-BT-CapMe_vF,20.155,}ElitE{Bon,2016-09-20
CTF-BT-CappingTime-fix,18.784,~DarK~JoJo~,2026-01-12
CTF-BT-Capthat,17.306,Nightwolf`,2021-03-11
CTF-BT-CapThat][,21.838,Nightwolf`,2022-03-07
CTF-BT-CapThisBitches,10.526,}ElitE{Bon,2020-09-10
CTF-BT-Captime-fix,01:16.401,Dylanbro,2021-07-04
CTF-BT-CastleOfTheDcW-dbl2,01:40.796,~DarK~JoJo~,2026-01-20
CTF-BT-CastleRight,01:23.328,}ElitE{HellFire`,2021-08-21
CTF-BT-CastleRightEZ-fix,01:19.761,}ElitE{HellFire`,2021-08-20
CTF-BT-CastrumV1,01:09.754,Dylanbro,2023-02-25
CTF-BT-Caustic-Tunnels,01:10.367,~DarK~JoJo~,2025-06-11
CTF-BT-Cave_fix,54.287,Dylanbro,2012-10-18
CTF-BT-CaveMordenRush,09.247,Nightwolf`,2022-03-05
CTF-BT-Cavernous,37.680,Dylanbro,2022-02-02
CTF-BT-Caverns,24.910,}ElitE{HellFire`,2017-10-15
CTF-BT-Caverns_v2,29.013,}ElitE{HellFire`,2017-10-15
CTF-BT-CAVES,58.957,}ElitE{cRuNcHeR,2012-03-25
CTF-BT-CentralCore-vF,37.760,}ElitE{Bon,2017-06-15
CTF-BT-CF-vF,01:14.824,Dylanbro,2018-02-04
CTF-BT-Chambers-v3,37.956,}ElitE{HellFire`,2022-09-26
CTF-BT-Chantry,02:41.473,Dylanbro,2012-09-12
CTF-BT-Chaotic,01:12.492,BlueBalls,2021-12-31
CTF-BT-chav-ScorchedLego,53.394,Dylanbro,2022-10-15
CTF-BT-Cheesecaek,10.239,Nightwolf`,2022-10-20
CTF-BT-CheesyFactory-vF,02:02.551,Nightwolf`,2012-09-16
CTF-BT-Cherrycaek-vF3,01:07.503,~DarK~JoJo~,2025-06-07
CTF-BT-ChewBaCca-v2,02:04.739,}ElitE{Bon,2016-11-26
CTF-BT-Cheziie,01:00.165,Dylanbro,2012-07-26
CTF-BT-Chiko_0v3,04:09.132,Dylanbro,2021-11-01
CTF-BT-Chromatic-v2,01:37.094,p-a-w-e-l,2021-08-19
CTF-BT-CHU_Playground2,09.252,~DarK~JoJo~,2024-02-29
CTF-BT-church,01:40.774,Dylanbro,2014-11-04
CTF-BT-Church][v2,01:37.986,}ElitE{HellFire`,2020-07-30
CTF-BT-ChurchOfHell-v1,01:04.970,Nightwolf`,2015-01-24
CTF-BT-Chyandour-v1,03:27.963,p-a-w-e-l,2021-09-16
CTF-BT-CircinusV3,02:31.162,artur509,2024-01-27
CTF-BT-Circle,01:26.827,}ElitE{HellFire`,2022-10-24
CTF-BT-Circumscribe,01:58.887,Nightwolf`,2021-04-14
CTF-BT-City!ntro-vF2,01:13.405,OwYeaW,2017-04-12
CTF-BT-CityBlock-fixed,01:02.157,Nightwolf`,2022-04-25
CTF-BT-ClassroomChaosV2,52.084,Nightwolf`,2021-08-23
CTF-BT-Claustrofailure,02:18.123,Nightwolf`,2022-05-05
CTF-BT-ClaustrophobicV1,01:05.595,Dylanbro,2021-10-17
CTF-BT-Cliffs2,30.204,~DarK~JoJo~,2025-01-21
CTF-BT-Cliffs][,40.028,~DarK~JoJo~,2025-01-21
CTF-BT-Closer][b,01:24.238,}ElitE{Bon,2017-12-16
CTF-BT-Coalescence,04:51.282,Zla_Bakica,2021-07-23
CTF-BT-Coastal-Temple2,01:50.607,Nightwolf`,2022-04-22
CTF-BT-Coastal-Temple_dbl,03:30.184,p-a-w-e-l,2021-09-16
CTF-BT-Coconutcaek_vF,01:14.365,Nightwolf`,2013-03-30
CTF-BT-ComeOn][-i4g,08.391,Dylanbro,2017-01-05
CTF-BT-CommonMap-VF,22.477,}ElitE{Mike`,2021-06-17
CTF-BT-CommonMap2,25.438,}ElitE{Bon,2022-01-28
CTF-BT-CommonMap3-V3,36.917,~DarK~JoJo~,2025-05-29
CTF-BT-Comp-(Ti)GoForIt!,29.160,Nightwolf`,2013-06-17
CTF-BT-CompilaPawel,05:37.158,artur509,2023-03-30
CTF-BT-CompilapX5V3,04:17.185,~DarK~JoJo~,2024-03-10
CTF-BT-Complexity-vF2,47.316,fierd_3,2021-05-29
CTF-BT-ComplexityRE,46.266,Nightwolf`,2013-05-17
CTF-BT-CompositeV2,02:47.367,BlueBalls,2022-01-15
CTF-BT-ComPRaDs_Map-fix1,13.074,}ElitE{Mike`,2022-10-15
CTF-BT-CompXilation,07:11.130,p-a-w-e-l,2021-07-04
CTF-BT-CompXilationEZv3,06:34.316,Zla_Bakica,2021-11-08
CTF-BT-ConcaveDigSite,02:28.254,Nightwolf`,2017-02-10
CTF-BT-ConcreteFactoryCB,01:40.455,Dylanbro,2022-02-22
CTF-BT-Conflagration,03:03.868,Nightwolf`,2021-08-27
CTF-BT-ConfrontatioNuLLFINAL,01:08.094,Nightwolf`,2022-03-18
CTF-BT-Confundido-fix,02:31.406,p-a-w-e-l,2021-07-29
CTF-BT-Constraint,32.913,BlueBalls,2022-03-06
CTF-BT-CONSTRUKTV2,01:28.226,Nightwolf`,2012-09-08
CTF-BT-Contaminant,01:11.015,Nightwolf`,2014-05-28
CTF-BT-Coolio-v2,08.871,Nightwolf`,2021-03-12
CTF-BT-Core-888-dbl-v5,05:49.486,OwYeaW,2016-10-15
CTF-BT-CorkWood-v2,01:09.673,Dylanbro,2016-01-19
CTF-BT-CorrupT_v1,53.635,Nightwolf`,2013-12-19
CTF-BT-CosyMaxiN,01:04.826,Nightwolf`,2022-10-04
CTF-BT-CountryHouse-dbl,01:00.910,Nightwolf`,2022-04-19
CTF-BT-Covenant,01:29.508,p-a-w-e-l,2021-07-27
CTF-BT-CovenantCryptum,02:03.208,fierd_1,2014-01-02
CTF-BT-CoZyVisioN,01:13.924,Dylanbro,2021-06-26
CTF-BT-CrematoriuM_nmc,01:22.268,Nightwolf`,2022-04-28
CTF-BT-Croxum,02:46.738,p-a-w-e-l,2021-07-27
CTF-BT-CryMeARiver,02:02.163,Nightwolf`,2022-04-27
CTF-BT-Crypt,26.768,Dylanbro,2017-01-22
CTF-BT-CryptDungeon(V2),01:32.080,fierd_6,2017-03-14
CTF-BT-CrypticFate,30.714,Nightwolf`,2016-02-04
CTF-BT-CrypticRush-v2,46.420,Nightwolf`,2015-05-21
CTF-BT-CryptOfHope-v2,01:24.219,Dylanbro,2021-11-04
CTF-BT-CrystalFalls-dbl2,01:04.535,}ElitE{HellFire`,2022-09-26
CTF-BT-CTF-BT,20.710,}ElitE{Bon,2016-09-20
CTF-BT-CTTT(EV)2019,57.854,Dylanbro,2021-03-13
CTF-BT-CTTT-NBK_fix,30.393,}ElitE{HellFire`,2022-09-12
CTF-BT-CTTT2021,01:09.804,Dylanbro,2021-07-02
CTF-BT-CTTT_nb,01:11.670,Dylanbro,2011-04-03
CTF-BT-Cupola,01:02.679,~DarK~JoJo~,2025-01-29
CTF-BT-CursedGround,28.934,Nightwolf`,2022-03-08
CTF-BT-CursedSanctuary,41.226,~DarK~JoJo~,2025-06-08
CTF-BT-CuttinCorners,21.671,Nightwolf`,2022-12-31
CTF-BT-Cyborg-Dhaos-love,58.605,}ElitE{Bon,2021-09-07
CTF-BT-Cyclone,02:23.936,}ElitE{Bon,2009-07-07
CTF-BT-D&B-LV,40.726,Dylanbro,2011-03-20
CTF-BT-Dangerous_Volcano,01:24.973,Addic7ed,2018-05-16
CTF-BT-Dangerous_Volcano-EZ,59.908,Addic7ed,2019-05-21
CTF-BT-DangerZone-v2,02:26.981,[i4g]btman,2023-06-07
CTF-BT-DarkCity_insta2,01:13.108,Nightwolf`,2012-10-15
CTF-BT-DarkFall-i4g,06.037,Nightwolf`,2016-10-19
CTF-BT-Darkness_fix,01:17.630,}ElitE{HellFire`,2022-09-15
CTF-BT-DarkPlaces_dbl,24.607,~DarK~JoJo~,2025-06-11
CTF-BT-DarkRushiee(fix),01:01.960,Nightwolf`,2021-04-04
CTF-BT-Dawn_Bunkers-v2,01:50.132,}ElitE{Bon,2021-09-06
CTF-BT-Dayone-V2,01:20.426,~DarK~JoJo~,2023-12-31
CTF-BT-DayRush,17.542,Dylanbro,2022-03-09
CTF-BT-Deadboltv5,02:40.314,Nightwolf`,2021-08-11
CTF-BT-DeadlySin_i4g_v2,41.775,Nightwolf`,2012-11-10
CTF-BT-DeadSimple-fix,01:01.736,AlmostTheWorst,2021-05-22
CTF-BT-DeadSpace-vF,36.086,Dylanbro,2021-07-05
CTF-BT-DecayedSkillDodge,48.562,}ElitE{Bon,2022-12-08
CTF-BT-Deck16][die][LPC],42.115,Nightwolf`,2012-07-30
CTF-BT-Deck16][Sp!Re`,48.873,Nightwolf`,2012-08-15
CTF-BT-DeclineEZ,01:40.272,artur509,2023-04-15
CTF-BT-Declinev2,01:35.189,p-a-w-e-l,2021-09-17
CTF-BT-DEEP_nb,01:00.648,Dylanbro,2011-03-20
CTF-BT-DeepBlueSea,01:49.073,Nightwolf`,2022-04-10
CTF-BT-DefendersOfAnarchy_fix,02:03.236,}ElitE{HellFire`,2022-10-06
CTF-BT-Defiled-v2,30.545,Nightwolf`,2022-03-18
CTF-BT-Deflect,17.364,Nightwolf`,2022-10-12
CTF-BT-Deflection_dbl,01:16.546,Nightwolf`,2022-04-18
CTF-BT-Deft(Lite),01:22.830,fierd_1,2013-09-27
CTF-BT-Deimos,02:48.723,Nightwolf`,2022-04-04
CTF-BT-DeludeV3,02:47.336,BlueBalls,2022-08-20
CTF-BT-DemonHand-fixed,02:05.915,Nightwolf`,2015-02-11
CTF-BT-DepotV2,55.966,Nightwolf`,2022-04-24
CTF-BT-Dereliction,01:11.021,~DarK~JoJo~,2026-01-25
CTF-BT-DesertWorldV2,58.411,Nightwolf`,2021-10-21
CTF-BT-Despair,01:01.835,Dylanbro,2012-06-13
CTF-BT-Despondent_ez_nmc,44.761,Nightwolf`,2017-06-13
CTF-BT-DespondentsInferno_v2,01:49.827,~DarK~JoJo~,2025-06-19
CTF-BT-Destiny_fix,41.641,}ElitE{Mike`,2022-09-04
CTF-BT-Destruction_i4g,02:02.401,Nightwolf`,2012-10-13
CTF-BT-DeteriorateV3,04:07.565,BlueBalls,2022-08-20
CTF-BT-DeuxFacile,01:07.200,}ElitE{Bon,2009-04-04
CTF-BT-df-SighcoV3,01:08.530,*WeeDy*,2022-01-08
CTF-BT-DieBitches,01:50.885,~DarK~JoJo~,2026-01-13
CTF-BT-DiggingUpThemPoles,03.618,Nightwolf`,2017-12-01
CTF-BT-Dimension10-v1,01:54.184,Nightwolf`,2013-05-08
CTF-BT-DiscoKangaroo!!-dbl2,23.061,Dylanbro,2021-06-09
CTF-BT-Discovery-vF2,01:09.956,}ElitE{Bon,2020-10-23
CTF-BT-Disortion,28.688,Nightwolf`,2012-09-20
CTF-BT-DispersionV4,01:29.456,Nightwolf`,2021-08-29
CTF-BT-DM][,18.914,}ElitE{Mike`,2023-03-12
CTF-BT-DodgeAndJump-vF2,16.877,}ElitE{Bon,2021-08-13
CTF-BT-DodgebotDodgewall,14.972,}ElitE{HellFire`,2017-05-11
CTF-BT-DodgebotDodgewall][,12.000,dEviL^-,2022-02-16
CTF-BT-DodgebotDodgewall]I[,17.033,}ElitE{Bon,2021-07-04
CTF-BT-DodgeDuel,47.927,BlueBalls,2022-06-27
CTF-BT-DodgeDungeon,01:25.651,fierd_6,2011-06-11
CTF-BT-DodgeDungeonII-VF,01:29.990,Nightwolf`,2022-05-02
CTF-BT-DodgePractice-dbl,11.291,BlueBalls,2022-01-17
CTF-BT-DoggyStyle,34.199,Dylanbro,2020-06-07
CTF-BT-DomicileV2,48.237,}ElitE{Mike`,2021-04-12
CTF-BT-Domination_i4g,56.104,}ElitE{Bon,2021-12-16
CTF-BT-DoNkYzZ-vF,01:20.308,Dylanbro,2021-11-04
CTF-BT-Dont-Fall_Fix,01:23.572,Dylanbro,2021-11-01
CTF-BT-DontBeASlowPoke-dbl,09.910,Nightwolf`,2017-01-22
CTF-BT-DontDieFIX2,58.586,SuRi,2012-01-15
CTF-BT-DontLookDown,08.052,Dylanbro,2017-12-30
CTF-BT-DontStop-i4g,24.378,}ElitE{HellFire`,2017-06-04
CTF-BT-Double_Dragon!-fix,01:13.087,~DarK~JoJo~,2026-03-04
CTF-BT-DouceLueur,01:25.197,~DarK~JoJo~,2025-05-05
CTF-BT-DouglaS,01:00.349,Dylanbro,2017-12-16
CTF-BT-DownTown_i4g_v2,01:06.051,Nightwolf`,2012-09-06
CTF-BT-DraculasCastle,03:09.753,fierd_1,2013-12-03
CTF-BT-DreamForHer,01:16.529,~DarK~JoJo~,2025-05-07
CTF-BT-DreamOfHer-PinkEdition,01:10.981,~DarK~JoJo~,2026-01-21
CTF-BT-Dreams&Nightmares,55.034,~DarK~JoJo~,2025-01-21
CTF-BT-DreamsOutside,46.171,}ElitE{HellFire`,2020-10-19
CTF-BT-Dreamtime,01:05.852,Nightwolf`,2013-04-02
CTF-BT-Drunk-fix,48.129,}ElitE{Mike`,2021-07-15
CTF-BT-DSM-vLO,13.867,Nightwolf`,2022-03-05
CTF-BT-Duality,37.625,fierd_3,2012-03-04
CTF-BT-DubleSide-fix,26.666,Dylanbro,2021-05-23
CTF-BT-DudahRushh,38.600,Dylanbro,2021-06-30
CTF-BT-Duel,58.455,Nightwolf`,2013-09-19
CTF-BT-Dumbfounded-fix,22.304,Nightwolf`,2023-01-13
CTF-BT-Dungeons-vF2,01:13.138,Nightwolf`,2013-10-13
CTF-BT-DylmapV2,41.271,Dylanbro,2022-03-12
CTF-BT-EasiestBT_Ever,08.457,Nightwolf`,2021-10-30
CTF-BT-EasterSchmeaster-v2,24.131,*WeeDy*,2022-03-11
CTF-BT-EASY-but-HARD-dbl,01:25.916,}ElitE{Bon,2021-06-29
CTF-BT-Easy-but-long,02:40.470,BlueBalls,2022-01-25
CTF-BT-Easy-but-long-EZ,02:37.201,BlueBalls,2022-01-25
CTF-BT-Easy-Jumps-X-v2,01:16.383,Dylanbro,2013-04-15
CTF-BT-Easy_fix,23.372,Dylanbro,2022-03-05
CTF-BT-EasyFalls][-vLO,21.752,~DarK~JoJo~,2026-05-16
CTF-BT-EasyGoCap,50.663,Dylanbro,2021-04-10
CTF-BT-EasyPeasy-fix,33.951,Dylanbro,2020-08-28
CTF-BT-EasyPeasyLemonSqueazy-dbl,16.876,}ElitE{HellFire`,2016-01-01
CTF-BT-EasystarterRushMap,34.992,Dylanbro,2023-03-19
CTF-BT-Eazy_To_Cap,18.734,Dylanbro,2022-02-21
CTF-BT-EaZyAsCaKe_i4g,01:14.793,Dylanbro,2011-12-21
CTF-BT-EaZyWaY,31.503,}ElitE{HellFire`,2019-08-23
CTF-BT-Ecthelion,01:15.271,Dylanbro,2021-12-18
CTF-BT-EdgeOfForeverV3,02:47.548,BlueBalls,2022-10-22
CTF-BT-EditingTrials-v1,37.830,~DarK~JoJo~,2025-01-22
CTF-BT-eEqus,42.653,}ElitE{Bon,2010-11-21
CTF-BT-Egypt_Temple,01:13.352,Dylanbro,2021-11-27
CTF-BT-EgyptianDiscovered-fix,56.485,Nightwolf`,2022-04-12
CTF-BT-EgyptianSun-v2,51.849,BlueBalls,2021-12-19
CTF-BT-EgyptRun2,19.745,BlueBalls,2022-05-20
CTF-BT-EgypTTT,40.548,}ElitE{Bon,2012-02-11
CTF-BT-Electra,28.002,~DarK~JoJo~,2026-03-26
CTF-BT-ElegantRush-fix,51.846,Dylanbro,2017-11-11
CTF-BT-Elevate,22.376,}ElitE{HellFire`,2017-12-10
CTF-BT-ELiTEsRevenge_fix,01:12.414,Nightwolf`,2013-04-03
CTF-BT-Elitest-v2,01:08.195,Nightwolf`,2022-04-25
CTF-BT-EmilYoo-v2,33.056,Nightwolf`,2012-08-16
CTF-BT-ENDez,01:57.651,Nightwolf`,2021-04-14
CTF-BT-EndingDisasterV3,29.739,~DarK~JoJo~,2024-03-26
CTF-BT-ENDv3,01:54.034,Nightwolf`,2021-10-31
CTF-BT-EnteringBrightWatersV3Fix,33.158,Dylanbro,2021-06-26
CTF-BT-Entombment-v1b,37.683,Dylanbro,2012-02-18
CTF-BT-EntrywayBT-V2,01:09.081,~DarK~JoJo~,2026-04-03
CTF-BT-Ephemeral,01:22.710,~DarK~JoJo~,2024-02-28
CTF-BT-Epic-fix,55.209,OwYeaW,2019-04-17
CTF-BT-Eruption,01:38.394,BlueBalls,2022-08-19
CTF-BT-Escalier-EZ-vF,01:08.926,Dylanbro,2021-08-22
CTF-BT-Escapade!,02:58.302,Nightwolf`,2014-01-24
CTF-BT-Eskimo_i4g,01:51.888,Dylanbro,2011-01-20
CTF-BT-etc,55.700,Nightwolf`,2014-02-01
CTF-BT-EternalRest,49.805,Dylanbro,2017-01-24
CTF-BT-EvilTomb,01:22.755,}ElitE{Mike`,2010-08-31
CTF-BT-EvilTwinCB,02:03.898,}ElitE{Bon,2021-07-25
CTF-BT-EvilTwinHV,02:04.344,}ElitE{Bon,2021-07-26
CTF-BT-EvilutionII,01:28.179,Dylanbro,2014-04-12
CTF-BT-EW-Chaos,01:06.824,Dylanbro,2012-06-03
CTF-BT-Execution,01:08.608,Dylanbro,2010-07-11
CTF-BT-Exed-V2,58.497,}ElitE{Bon,2017-12-13
CTF-BT-Exotic,41.541,Nightwolf`,2021-10-30
CTF-BT-ExpireV3,02:20.178,Nightwolf`,2022-04-22
CTF-BT-Extant,57.764,OwYeaW,2017-01-24
CTF-BT-Extreme-X-fixed,02:50.248,}ElitE{HellFire`,2020-08-16
CTF-BT-Extremely~Easy_Edition~,12.731,BlueBalls,2022-09-07
CTF-BT-Extremely~Hard~,13.479,}ElitE{Bon,2017-06-15
CTF-BT-Extricate-v2,04:06.856,p-a-w-e-l,2021-03-16
CTF-BT-EyeOfHorusv5,02:36.097,TDN-Berserker,2020-01-15
CTF-BT-Eypitan_dbl,02:07.203,Dylanbro,2012-03-16
CTF-BT-Ez2Rush-v2_dbl,17.936,Dylanbro,2021-08-22
CTF-BT-FaA-Duh!_fix,02:11.577,Nightwolf`,2013-04-22
CTF-BT-FaA-OneTexture,01:38.031,OwYeaW,2016-05-07
CTF-BT-Fabricatorium,01:38.251,~DarK~JoJo~,2025-10-22
CTF-BT-FacadeCB,01:43.628,Dylanbro,2023-02-21
CTF-BT-Face_bunny,32.298,Nightwolf`,2022-12-28
CTF-BT-FaceLiftExt-dbl,47.998,}ElitE{HellFire`,2020-11-05
CTF-BT-Fack-v2,34.524,Nightwolf`,2022-04-26
CTF-BT-Faction-vF2,01:04.891,Dylanbro,2021-04-11
CTF-BT-FactoryBreakout_dbl,01:16.436,Nightwolf`,2013-05-11
CTF-BT-FactoryCB,01:29.354,Dylanbro,2013-04-15
CTF-BT-FactoryComplex2009,53.134,Nightwolf`,2021-12-12
CTF-BT-FairyLand,01:36.473,~DarK~JoJo~,2023-12-28
CTF-BT-FaithSolo,02:07.616,Nightwolf`,2013-09-19
CTF-BT-Fallacious-v2,01:49.712,}ElitE{Bon,2021-12-31
CTF-BT-FallGuysV2,02:13.148,~DarK~JoJo~,2025-01-29
CTF-BT-FallingGuts-fix2,49.146,}ElitE{HellFire`,2019-09-03
CTF-BT-Faster!(HV),37.047,Dylanbro,2022-03-15
CTF-BT-FastRun-fix,38.114,Dylanbro,2021-03-13
CTF-BT-Find-v2,24.913,BlueBalls,2022-09-05
CTF-BT-FiniteV3,01:41.256,TDN-Berserker,2020-08-21
CTF-BT-Finlandia,42.481,Dylanbro,2022-10-09
CTF-BT-FireDoor,02:14.060,}ElitE{HellFire`,2021-09-18
CTF-BT-FireHaze's-CTTT,01:17.230,}ElitE{Mike`,2009-06-27
CTF-BT-FirsTruSH,21.509,Nightwolf`,2022-03-13
CTF-BT-FirsTruSH-HV,21.713,Nightwolf`,2022-03-13
CTF-BT-Flagrant!,02:00.661,}ElitE{Bon,2021-07-04
CTF-BT-Flarice-dbl,18.814,Dylanbro,2015-05-03
CTF-BT-Fleahole-v2,49.082,Addic7ed,2019-06-23
CTF-BT-Floam,09.598,Nightwolf`,2022-03-11
CTF-BT-FloatingCastle_dbl2,01:52.968,Nightwolf`,2022-04-05
CTF-BT-FluorescenceV1,22.887,Dylanbro,2021-08-20
CTF-BT-Flyinghigh-vF,12.757,}ElitE{Bon,2022-02-13
CTF-BT-ForAltf4,47.025,Nightwolf`,2015-06-14
CTF-BT-ForAnte_vF,51.936,~DarK~JoJo~,2026-03-23
CTF-BT-ForAyK-fix,59.901,BlueBalls,2022-02-08
CTF-BT-ForDizzyNOANIM-v2,24.828,BlueBalls,2022-02-16
CTF-BT-ForEmbertactic-i4g,22.437,BlueBalls,2022-02-11
CTF-BT-Forest,01:00.203,Nightwolf`,2016-11-12
CTF-BT-ForestRemake,01:10.574,~DarK~JoJo~,2024-01-15
CTF-BT-ForeverForEternity-vF,21.152,Nightwolf`,2017-07-03
CTF-BT-ForgottenCastle-fix,01:08.171,Nightwolf`,2022-04-18
CTF-BT-ForJade&Amber-vLO,22.635,SuRi,2015-03-02
CTF-BT-ForKOPOBA(fix),02:49.090,Dylanbro,2012-03-29
CTF-BT-ForMacReady_vLO,16.228,}ElitE{HellFire`,2021-08-31
CTF-BT-ForNewbz][-vLO,35.000,}ElitE{HellFire`,2021-05-30
CTF-BT-ForNightWolf2,25.198,Dylanbro,2021-07-08
CTF-BT-Forster-v2,13.311,Dylanbro,2021-03-07
CTF-BT-FortressOfCrystal-fix,57.150,Dylanbro,2017-01-29
CTF-BT-FortressOfTheDcW-fix,02:49.006,Nightwolf`,2022-04-22
CTF-BT-Foulness,56.848,Nightwolf`,2012-08-15
CTF-BT-Fr0z3N,01:15.167,}ElitE{Bon,2017-12-27
CTF-BT-Fracture,01:28.439,OwYeaW,2016-06-13
CTF-BT-Fragnessancient_dbl,01:07.994,Nightwolf`,2013-03-30
CTF-BT-Fragnesscity_dbl,01:21.106,Dylanbro,2014-12-13
CTF-BT-Freedom-FIX,55.964,Nightwolf`,2022-11-03
CTF-BT-FrictionV2,01:29.707,Nightwolf`,2021-11-05
CTF-BT-Frigate-dbl,01:30.500,Nightwolf`,2022-04-27
CTF-BT-FrolicLegos,02:43.656,Dylanbro,2012-09-10
CTF-BT-FrontbotDodgewall,14.628,}ElitE{Bon,2022-03-13
CTF-BT-FROP,23.328,Dylanbro,2021-06-04
CTF-BT-FrostyLego-v3,25.293,Dylanbro,2021-03-12
CTF-BT-FrozenPassage-fix2,01:48.716,Dylanbro,2022-10-14
CTF-BT-Frozt-v2,02:10.733,Nightwolf`,2019-05-02
CTF-BT-Fun2013-v2,58.809,Nightwolf`,2014-01-05
CTF-BT-FunnyMap-dbl,02:57.049,Nightwolf`,2022-03-21
